"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat","prop.score","weights"
489.353,2,1,2,3,3,4,4,-0.7346,-0.4169,-0.5747,1,0.0208652285953943,1
468.466,2,1,1,5,1,6,6,-3.1297,1.4445,1.1136,1,0.0478325537004124,1
646.53,2,1,1,3,3,6,6,0.3645,1.1482,1.1287,1,0.129781427610899,1
549.696,2,1,2,3,3,6,6,0.2947,-0.0122,0.2683,1,0.0551753010160527,1
520.364,2,1,2,3,3,6,6,-0.3381,0.6038,0.9699,1,0.0825560568737703,1
486.109,2,1,2,4,3,5,6,0.0248,-0.1363,0.6153,1,0.069266630005295,1
507.414,2,1,2,2,4,5,6,1.398,0.4764,0.9645,1,0.0772272903887034,1
623.561,2,1,2,4,3,6,6,0.7333,0.8116,1.005,1,0.104991130647951,1
466.84,2,1,1,5,4,4,4,1.5043,-0.259,0.0413,1,0.0769088315129661,1
431.239,2,1,1,4,2,6,6,-0.983,-0.0951,1.0234,1,0.132376471081583,1
504.407,2,1,1,5,2,6,6,0.0048,2.4301,1.7031,1,0.157379993013064,1
481.011,2,1,1,3,4,4,5,0.3171,0.0511,0.2337,1,0.0522949754092782,1
565.37,2,1,2,3,2,6,6,-1.1407,0.006,0.7089,1,0.0586860466044171,1
636.169,2,1,2,5,3,6,6,0.2947,0.9703,1.1873,1,0.122973095320666,1
349.382,2,1,2,4,4,6,6,1.5611,0.7499,1.0856,1,0.118475449105845,1
540.197,2,1,2,1,3,6,6,0.7333,0.2717,0.8066,1,0.0687050063286535,1
544.635,2,1,1,6,3,4,6,-0.3381,1.2584,0.7972,1,0.0870061983317046,1
747.374,2,1,1,5,3,6,6,0.2947,2.4143,1.8006,1,0.178748634545879,1
623.209,2,1,2,5,4,6,6,0.6642,0.3783,0.9491,1,0.120921726110896,1
437.347,2,1,2,4,3,4,4,-0.3381,0.468,-0.828,1,0.0346736972803195,1
544.029,2,1,1,4,4,6,6,0.6642,1.8362,1.4435,1,0.158628082846316,1
525.473,1,1,2,4,3,6,6,-0.5064,0.2098,-0.1667,1,0.0471741432628394,1
571.437,1,1,1,5,1,5,6,-2.032,1.629,1.4294,1,0.0805214932266468,1
522.679,1,1,2,3,4,5,5,1.5611,0.1745,0.2378,1,0.0486304745461964,1
577.287,1,1,1,5,2,6,6,-1.251,1.2068,1.1916,1,0.114532335410938,1
432.612,1,1,2,4,3,4,6,-0.3381,0.346,1.0405,1,0.0735425476149581,1
572.238,1,1,1,6,3,6,6,-0.3381,0.7474,1.1054,1,0.161357977614136,1
441.869,1,1,1.119484198,3,3,6,6,0.0248,1.9289,1.5189,1,0.141266435894853,1
547.346,1,1,2,4,4,6,6,1.5043,0.9537,1.2432,1,0.130485776228791,1
489.283,1,1,2,3,3,6,6,0.3791,1.4952,1.2149,1,0.0949040678177362,1
475.379,1,1,2,2,3,4,4,-0.3381,-0.0988,-0.995,1,0.0169620654066639,1
606.77,1,1,1,5,2,6,6,-0.654,1.8241,0.7572,1,0.0899134960794848,1
502.7,1,1,2,2,3,4,4,-0.5753,-0.6155,-0.317,1,0.0181355683860542,1
487.521,1,1,2,3,3,4,4,-0.4725,0.0144,-0.5815,1,0.0232722321820605,1
500.688,1,1,1,4,4,6,6,1.398,1.472,1.2477,1,0.153980749031253,1
635.823,1,1,1,5,3,6,6,-0.3381,1.4692,1.3706,1,0.152780175053025,1
391.089,1,1,2,1,3,6,6,-0.3381,0.7985,1.2068,0,0.0863407635593599,1
436.571,1,1,1,1,3,6,6,-0.3381,0.6247,1.0603,0,0.102400091930998,1
379.501,2,1,2,1,3,1,1,-1.0036,-1.1987,-2.0893,0,0.00493062341935312,1
328.889,2,2,1,2,2,5,5,-0.2511,0.9332,0.8472,0,0.0761913431900797,1
493.185,1,1,1,6,1,6,6,-1.3612,2.0032,1.6702,0,0.135203385414444,1
491.783,1,1,1,3,3,6,6,0.0248,0.8843,0.4945,0,0.0779872257659695,1
632.483,1,1,1,4,3,6,6,-0.3381,0.807,1.1066,0,0.134661812879825,1
508.893,2,1,2,2,4,5,6,-0.2387,-0.3623,0.6769,0,0.0549235664769379,1
543.708,2,1,1,3,4,0,0,0.6642,0.1716,-2.1787,0,0.0396022972829501,1
446.913,2,1,1,3,3,5,6,-0.3381,0.5771,-0.0317,0,0.0475778359010813,1
547.556,1,1,1,6,2,4,4,-0.8427,1.1645,-0.0348,0,0.0666574431173585,1
555.085,1,1,1,4,4,6,6,0.4232,1.9468,1.5462,0,0.164258369944864,1
588.87,2,1,2,2,2,4,4,-0.6981,0.4916,-0.0755,0,0.0204950376019243,1
529.566,2,1,2,3,4,4,6,2.5915,0.4426,0.7454,0,0.0552723580207082,1
537.757,1,1,2,2,4,6,6,-0.0621,0.7589,0.9856,0,0.0769228963721777,1
515.324,1,1,2,5,3,4,4,-0.3381,1.6547,0.5173,0,0.0461601974414293,1
414.986,1,1,1,3,4,6,6,0.6642,0.7447,1.1044,0,0.143926739676508,1
466.699,2,1,2,2,4,6,6,0.1534,-0.0129,1.0739,0,0.10580894047387,1
472.995,1,1,2,4,2,2,5,-0.5304,0.2896,0.714,0,0.0367730203907652,1
478.436,1,1,2,3,4,4,5,1.5043,-0.6182,-0.2395,0,0.0312924746284044,1
355.305,2,1,2,1,3,5,6,-0.2663,0.0726,0.8987,0,0.0583207855628424,1
417.17,2,1,1,4,3,6,6,-0.5064,-0.2081,0.2583,0,0.0798362842513759,1
421.579,2,1,1,1,3,2,2,-1.0795,-0.5029,-1.1338,0,0.00883812008694772,1
