"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat","prop.score","weights"
608.018,1,1,1,5,3,6,6,-0.6837,0.8889,1.0747,0,0.127554826647094,1
585.838,1,1,1,5,2,6,6,-0.7309,2.221,1.337,0,0.123782603207226,1
374.776,2,1,1,6,3,4,6,-0.9795,2.9974,1.7876,0,0.127301079799038,1
421.329,2,1,2,2,1,4,4,-2.4441,-0.6561,-0.9865,0,0.0135503368034838,1
606.096,1,1,1,4,4,6,6,0.6642,0.2869,1.0395,0,0.133520847556868,1
554.803,1,1,1,6,2,6,6,-0.8144,0.2076,0.8243,0,0.134443610608243,1
455.719,1,1,1,4,4,6,6,2.5915,1.9915,1.5006,0,0.160275011393011,1
630.601,1,1,1,5,3,6,6,-0.5064,0.5615,1.0784,0,0.135413680745215,1
556.296,1,1,1,2,3,6,6,0.1052,0.1866,0.8373,0,0.090357110440944,1
675.48,1,1,1,5,4,6,6,2.5915,1.5475,1.2754,0,0.167402580946581,1
544.12,1,1,1,5,2,6,6,-0.7768,1.9694,1.5338,0,0.143152673603968,1
472.704,2,1,1,3,3,6,6,-0.866,1.5604,1.3215,0,0.112359558170213,1
549.979,1,1,1,5,3,6,6,-0.8307,1.2407,1.2453,0,0.132934270804355,1
676.464,1,1,1,5,3,6,6,-0.3381,0.1348,0.9629,0,0.135781901470412,1
469.27,1,1,2,2,2,6,6,-0.6981,-0.4856,-0.5256,0,0.0275973422980915,1
588.024,1,1,1,3,1,6,6,-1.5441,1.2627,1.3774,0,0.107023214400263,1
599.999,2,1,1,6,3,5,5,0.0248,1.171,0.604,0,0.100461835372031,1
425.365,1,1,2,4,4,6,6,1.5043,0.487,0.6997,0,0.0812424902020527,1
488.923,2,1,1,6,1,6,6,-3.1297,1.9119,1.368,0,0.132030206645705,1
592.81,1,1,2,3,1,4,5,-1.4215,-0.0697,-0.2653,0,0.0233021962229221,1
534.19,1,1,1,2,4,6,6,2.5915,0.5857,0.9633,0,0.112095700409834,1
534.384,2,1,2,1,4,5,6,0.9646,-0.3848,0.586,0,0.0516304274684255,1
451.331,1,2,1,6,4,5,5,0.6642,0.4887,-0.308,0,0.0423808072091256,1
454.893,1,1,1,3,4,4,4,1.5043,0.6295,0.4091,0,0.0584967696062002,1
451.3,2,1,1,4,2,6,6,-0.0623,2.4315,1.896,0,0.16657611869842,1
621.586,2,1,2,4,3,6,6,-0.3381,1.6156,1.4864,0,0.104145733348519,1
606.319,1,1,1,5,2,6,6,-1.0546,0.4921,0.9702,0,0.123048188091055,1
614.54,1,1,1,5,4,6,6,1.1245,1.493,1.462,0,0.168279716691358,1
569.031,1,1,1,5,3,4,4,-0.3381,4.1183,1.8566,0,0.0965552104264679,1
512.044,1,1,1,4,2,4,5,-0.8616,2.0511,0.3488,0,0.0431453410802607,1
453.065,1,1,2,1,3,6,6,-0.3381,-0.2643,0.8369,0,0.0583304554260144,1
388.419,1,1,2,4,3,6,6,-0.8307,0.9403,1.2176,0,0.0870157882949781,1
425.56,1,1,1,4,4,6,6,0.5073,3.6473,2.1504,0,0.160122106413948,1
525.337,1,1,1,4,3,6,6,-0.3381,1.9285,0.9402,0,0.0928233128358326,1
520.476,1,1,1,3,4,4,6,0.7934,0.7893,0.9968,0,0.0798657081552119,1
645.956,1,1,1,6,3,6,6,-0.376,1.8923,1.6294,0,0.176077959259825,1
566.616,1,1,1,6,2,6,6,-1.0137,3.6547,1.8639,0,0.152568647995585,1
467.183,1,0.896020971,1.062847128,2.12587296,1.635797711,5.299937934,5.311642087,-1.689613508,1.502613602,0.749358214,0,0.0560513484419475,1
