Y,GENDER,ST011Q06,ST011Q07,ST013Q01,ST034Q01,MISCED,HISCED,BELONG,HOMEPOS,ESCS,treat
712.758,2,1,1,5,4,5,5,0.0294,0.8691,1.0902,1
586.852,2,1,1,5,3,2,5,-0.5064,1.1296,-0.2399,1
560.91,1,1,1,1,4,6,6,2.5915,0.2962,0.5862,1
643.57,1,1,2,3,3,6,6,0.0248,0.5366,1.2325,1
661.895,1,1,2,4,3,6,6,-1.0562,-0.1377,1.0053,1
627.135,1,1,1,4,2,4,5,-0.8427,0.7188,0.911,1
564.022,1,1,2,2,4,6,6,0.1771,0.3582,1.1049,1
675.563,1,1,2,4,3,6,6,-0.3381,-0.1878,0.7596,1
501.125,1,1,2,3,4,4,4,2.5915,0.0415,-0.3855,1
531.42,1,1,1,2,4,6,6,2.5915,-0.1126,0.7046,1
621.007,1,1,2,3,2,6,6,-0.8144,-0.1588,0.2537,1
589.679,1,1,1,2,2,5,5,-0.9214,0.1947,0.5944,1
564.132,1,1,1,3,3,6,6,-0.9909,0.6801,1.1612,1
567.588,1,1,2,4,4,5,5,0.6642,0.8793,0.4534,1
560.446,1,1,2,3,4,6,6,1.0269,0.9508,1.178,1
664.705,1,1,2,5,2,6,6,-0.9091,1.2154,1.4613,1
520.022,1,1,1,3,3,1,6,-0.3381,1.7826,0.6365,1
531.112,1,1,1,4,4,6,6,0.6642,0.9858,0.9843,1
669.101,1,1,0.655768565,6,4,6,6,0.6642,0.9454,1.4034,1
579.323,1,1,1,3,2,5,6,-0.654,-0.4383,0.8122,1
701.223,1,1,2,4,3,5,5,-0.8444,0.0985,0.559,1
514.455,1,1,2,3,3,5,6,-0.3381,0.7033,1.1078,1
747.283,2,1,2,4,3,6,6,-0.604,1.0096,1.3236,1
532.453,2,1,2,1,4,4,6,2.5915,0.3126,1.0882,1
530.299,2,1,1,3,3,5,5,-0.6239,-0.104,0.154,1
416.449,1,1,1,5,4,5,6,0.9646,1.9117,1.9031,1
691.245,1,1,1,6,2,6,6,-1.212,1.8924,1.772,1
517.552,1,1,1,4,4,4,6,2.5915,1.3836,1.6884,1
617.591,1,1,1,5,4,4,4,0.5423,1.6466,0.1837,1
517.524,1,1,1,2,1,6,6,-3.1297,-0.0454,0.3573,1
599.926,1,1,1,6,3,6,6,-0.3381,1.2867,1.6734,1
533.87,1,1,1,5,3,6,6,-0.9306,2.1223,1.8565,1
549.502,1,1,1,3,3,6,6,0.0248,1.4272,1.6011,1
432.142,1,1,2,4,3,6,6,-0.1266,1.1606,1.3585,1
516.147,1,1,2,1,2,4,5,-0.8828,0.5744,0.2173,1
506.711,1,1,2,3,3,6,6,-0.5942,0.5041,1.2412,1
553.882,1,1,2,2,3,4,4,-0.3381,-0.0014,-0.2773,1
625.139,1,1,2,2,3,5,5,-0.3381,-0.7031,-0.0868,1
590.346,1,1,1,5,3,5,6,-0.3381,0.7546,1.2506,1
494.81,1,1,1,3,3,6,6,-0.3381,0.7566,1.1273,1
457.22,1,1,2,3,3,5,5,-0.3381,1.2564,0.7573,1
605.384,1,1,1,6,4,6,6,0.7701,0.6535,1.1928,1
564.9,1,1,2,5,2,6,6,-1.0137,0.6681,1.5331,1
455.566,1,1,2,3,3,4,4,0.2418,0.6186,0.1778,1
498.729,1,1,1,6,2,6,6,-1.1407,1.2955,1.2519,1
530.856,1,1,2,2,3,5,5,-0.3381,0.1128,0.5849,1
604.706,1,1,1,6,3,6,6,-0.3381,1.4557,1.3636,1
612.714,1,1,1,5,3,6,6,-0.8307,3.5141,2.5127,1
384.223,1,1,1,3,3,6,6,-0.6239,-0.5647,0.6211,1
508.371,1,1,1,4,3,6,6,-0.3381,0.8862,1.1336,1
532.797,1,1,1,5,4,6,6,0.3171,2.1327,1.9017,1
508.959,1,1,2,3,2,4,4,-0.8144,0.6686,-0.1899,1
468.205,1,1,2,3,4,6,6,1.398,0.7389,1.3481,1
461.202,1,1,2,3,4,6,6,2.5915,1.369,1.4764,1
