Y,GENDER,ST011Q06,ST011Q07,ST013Q01,ST034Q01,MISCED,HISCED,BELONG,HOMEPOS,ESCS,treat
465.779,1,1,1,3,3,6,6,-0.3381,0.4567,1.0399,1
511.737,2,1,2,1,4,4,6,2.5915,-0.1258,0.1026,1
698.706,2,1,2,4,4,6,6,0.6642,0.5224,1.25,1
570.42,1,1,1,4,4,6,6,0.6642,1.0911,1.4383,1
314.141,2,1,1,4,4,4,6,2.5915,1.7684,1.6872,1
390.726,1,1,1,1,3,5,5,-0.3627,0.1461,0.4753,1
543.998,1,1,1,3,3,4,6,-0.3381,0.869,1.0261,1
494.948,1,1,1,5,1,6,6,-0.8995,0.706,1.1315,1
436.592,1,1,1,4,3,6,6,-0.66,0.6969,1.2935,1
523.18,2,1,1,2,4,6,6,0.4906,-0.1207,0.4971,1
601.025,2,1,1,3,3,6,6,0.2947,-0.2695,0.9383,1
517.75,2,1,1,5,4,6,6,0.2091,0.8647,1.2518,1
466.831,2,1,1,3,3,6,6,-0.3381,1.8712,1.477,1
492.08,1,1,1,5,4,6,6,0.412,2.4143,1.7593,1
457.062,1,1,1,2,3,6,6,0.2067,0.9957,1.2793,1
428.222,1,1,2,2,4,4,4,0.6642,0.7256,0.7337,1
463.281,1,1,1,1,3,6,6,-0.3381,1.6008,1.295,1
418.192,2,1,2,2,4,6,6,2.5915,0.5787,0.7334,1
510.693,2,1,1,2,4,6,6,-0.378,0.1043,0.9104,1
475.42,2,1,1,5,3,6,6,-0.3381,2.0869,1.2464,1
270.3,2,1.344012851,2.046123862,4,2,6,6,-0.6981,0.316,0.8848,1
470.814,1,1,1,2,3,6,6,-0.4838,1.4244,1.4162,1
451.531,2,1.145796808,2,3,4,4.488420496,3.891416134,1.5611,0.3775,-0.596,1
536.435,2,1,1,2,3,6,6,-0.8307,0.3971,0.894,1
512.292,1,1,2,3,4,6,6,-0.0621,-0.0934,0.5484,1
494.647,2,1,2,3,4,6,6,1.5043,0.6045,1.1149,1
479.353,1,1,1,3,3,6,6,0.0248,1.2423,1.2873,1
413.36,2,2,2,1,4,6,6,1.5043,-0.5329,0.7382,1
431.436,1,1,1,3,4,6,6,0.3171,1.0354,1.2112,1
319.818,2,1,2,3,2,4,4,-0.0744,0.8742,0.5817,1
368.487,2,1,1,1,2,5,5,-0.5608,0.324,1.3053,1
483.18,1,1,1,4,3,6,6,-0.4725,0.8709,1.2334,1
543.15,2,1,1,3,2,6,6,-0.8828,0.8434,-0.0578,1
616.847,2,1,1,5,3,4,6,-0.3381,1.6721,1.6518,1
519.272,1,1,1,5,4,6,6,0.6642,1.6815,1.0974,1
550.584,1,1,1,4,3,6,6,0.2418,0.9222,1.3763,1
507.547,1,1,1,6,2,6,6,-0.8616,1.7043,1.5604,1
381.788,1,1,2,3,7,6,6,3.603936999,1.4937,1.359,1
579.002,1,1,1,5,3,6,6,-0.4953,2.6689,1.8529,1
437.887,1,1,2,3,3,6,6,-0.3381,-0.0639,0.9105,1
392.344,1,1,1,2,2,5,5,-0.6981,1.0299,0.5108,1
547.864,1,1,1,6,4,6,6,2.5915,3.6527,2.0491,1
437.669,1,1,1,6,2,6,6,-1.044,3.4024,2.0604,1
537.457,1,1,1,5,3,6,6,0.42,1.3817,1.3798,1
523.665,1,1,1,6,3,6,6,-0.3381,2.051,1.1918,1
378.028,1,1,1,4,3,6,6,-0.3381,1.7674,1.3769,1
568.735,1,1,2,5,4,6,6,0.329,2.1953,1.7408,1
405.246,1,1,1,5,4,6,6,1.398,1.1001,1.049,1
434.906,1,1,1,4,1,6,6,-1.407,0.6622,0.2888,1
573.038,1,1,1,4,3,6,6,-0.082,0.4146,0.9004,1
429.338,1,1,1,3,4,4,4,0.1885,0.5756,-0.3546,1
445.043,1,1,2,1,3,5,6,-0.4725,0.5447,0.9482,1
513.746,1,1,1,5,3,5,5,-0.5021,2.2663,1.2545,1
525.143,1,1,1,5,3,6,6,-0.3381,2.6212,1.546,1
396.168,1,1,1,4,4,6,6,0.4451,2.4707,1.4907,1
426.637,2,1,1,3,3,6,6,-0.3381,1.7938,1.18,1
629.254,2,1,2,4,3,6,6,-0.1144,1.3921,1.1977,1
523.428,2,1,1,3,2,6,6,-1.072,1.6071,1.008,1
437.398,2,1,2,3,7,6,6,3.135717054,1.9647,1.6561,1
457.949,2,1,2,2,4,6,6,0.9646,0.7205,0.2276,1
489.808,2,1,1,1,4,6,6,-0.0644,1.5479,1.2549,1
497.633,2,1,1,4,7,6,6,3.325330146,3.0439,2.0527,1
420.179,2,1,1,2,3,6,6,-0.3381,0.7132,1.0721,1
420.963,2,1,2,2,2,6,6,-1.1407,0.7999,0.7114,1
425.905,2,1,2,1,3,6,6,-0.3381,0.379,0.1228,1
462.513,2,1,2,3,2,6,6,-1.0137,0.7969,1.2269,1
574.694,2,1,1,6,2,6,6,-0.9585,1.0957,1.3367,1
387.094,2,1,1,4,7,6,6,2.978981971,0.7211,0.9511,1
387.141,2,1,2,3,3,6,6,-0.7346,0.9114,1.145,1
425.482,2,1,2,1,3,6,6,-0.3381,0.7919,0.4689,1
543.873,2,1,2,4,4,4,6,2.5915,0.3905,1.0775,1
564.082,2,1,2,3,3,6,6,-0.4838,-0.206,0.755,1
485.115,2,1,1,5,3,6,6,-0.6334,1.8545,1.7189,1
528.72,2,1,1,3,3,6,6,0.2947,0.8903,1.0339,1
455.869,2,1,2,1,3,0,2,-0.4725,-0.7549,-1.7019,1
683.922,2,1,2,3,3,5,5,-0.3381,0.0687,0.5708,1
353.662,2,1,1,3,4,6,6,-0.378,1.462,1.2233,1
458.306,2,1,2,1,3,4,4,-0.6837,-0.992,-1.3439,1
603.871,2,1,2,3,3,5,5,-0.3381,-0.1728,0.0895,1
433.091,2,1,2,2,1,2,5,-1.9325,0.2833,-0.3008,1
