treat,Female,HOMEPOS,ESCS
0,1,-0.135892801,-0.240677651
0,0,1.387317478,-0.433171755
0,1,-1.02841569,-0.453017763
0,0,-0.620602018,-1.601407635
0,1,0.337508247,0.362860157
0,1,0.334424202,0.73883852
0,1,-0.027745591,0.254133253
0,1,-0.506492319,0.151494082
0,1,-0.803074734,-1.801815792
0,1,-1.830062025,-2.414363443
0,1,0.151540279,0.810186746
0,1,-1.314203945,-0.68094247
0,1,-1.35892261,-1.922718161
0,0,1.888063733,1.641527506
0,0,0.675930886,1.088761389
0,1,1.277114237,1.451103231
0,1,-0.560874328,-0.879889571
0,0,2.888836634,1.372693236
0,1,0.958223889,1.186530374
0,0,-0.940006373,-0.162998183
0,1,0.088831345,1.135149911
0,1,-1.285830722,-0.858704261
0,1,0.850899091,0.183759064
0,0,1.888783344,0.417527995
0,0,-1.947050167,-0.329680301
0,0,2.292484955,0.547074944
0,1,-0.654218118,0.358842253
0,0,1.705899421,1.537062015
0,1,0.598007326,-0.026998237
0,0,-0.001082725,-0.006924403
0,0,1.417335525,1.66307808
0,0,1.144191858,-0.669010514
0,1,0.931084285,-0.397619396
0,1,0.928617048,1.324600148
0,0,0.839693724,0.309775129
0,1,0.463131718,0.996106099
0,0,2.090788352,1.483246459
0,1,0.794255448,0.637051632
0,1,0.869814573,0.297721418
1,0,-0.50320267,-0.576720489
1,1,0.637071908,0.694519827
1,0,0.719107529,0.956657592
1,1,0.031673694,0.657384659
1,1,0.739051026,-0.908988932
1,0,-0.215872392,-1.324537558
1,0,-1.365913114,-0.076674135
1,0,0.043598671,0.838677335
1,1,-0.844092545,0.301374058
1,0,-0.508651151,0.548048981
1,0,0.18854883,0.102670466
0,1,0.762695378,1.126505331
0,1,-0.885829967,-1.087846515
0,0,-1.418136292,-1.206435546
0,0,0.587727173,0.018903266
0,0,-0.757636458,-0.868566388
0,0,-0.469278165,0.590297846
0,0,-0.311066609,0.709495649
0,0,0.945270896,0.187168195
0,1,0.051617191,-1.208140111
0,1,-0.455091553,-0.686543184
0,1,0.928617048,0.154781457
0,0,0.45120674,0.91550452
0,1,1.453521664,0.87885637
0,1,0.420571884,0.122272965
0,1,0.030234472,-0.085318715
0,0,0.01666467,0.751501004
0,0,0.904047483,0.886161649
0,0,-0.001082725,-0.006924403
0,1,2.0604619,1.741731584
0,0,0.802890776,1.093753329
0,1,-0.54216445,-0.945880592
0,1,0.175595837,0.845860859
0,0,-0.004615246,-1.232612796
0,1,-0.279300936,-0.227649903
0,0,-0.612172292,0.377227206
0,1,0.524709835,0.720331813
0,1,-0.420653041,0.410222716
0,1,0.536943217,-0.129028635
0,0,0.952364202,1.410437178
0,1,-4.016342176,-2.672239795
0,1,0.550410217,-0.602532475
0,1,-0.315487075,0.179254142
0,1,0.381610104,-0.71235517
0,1,2.109703833,1.561899964
0,1,-1.282438272,-1.260494611
0,1,0.045757504,0.311357939
0,1,-0.541650442,-0.415882594
0,1,-0.405438414,-1.532859767
0,1,-0.955529404,-1.646578611
0,1,0.587418768,-0.974979954
0,1,1.500913169,0.798741809
0,0,-0.129621908,-1.387728222
0,1,0.07772878,0.053603342
0,0,0.333396186,0.466716874
0,1,-0.763084939,-2.284816494
0,1,1.348252896,1.406541029
0,1,0.477626734,0.7055995
0,1,0.502607506,0.112654348
0,0,-0.281356967,-0.711624642
0,0,0.056140458,-0.753386488
0,0,-1.117339013,-1.943416451
0,0,0.41625422,-0.093354522
0,0,0.553802668,1.010473148
0,0,-0.562416351,0.600159972
0,1,-0.112659655,-0.600340891
0,0,0.12275585,-1.328190197
0,0,1.849410358,-0.006924403
0,1,-0.426101522,-0.384591649
0,0,0.155960744,0.887622704
0,0,-0.14524774,0.530151048
0,0,0.297724055,-1.025508134
0,0,-0.449129065,0.397803742
0,1,-0.180919871,-0.084222924
0,0,-0.034736095,-1.321250182
0,0,0.139409698,0.653975528
0,0,-1.497190669,-1.580344081
0,0,-0.330290495,-1.009680029
0,1,-0.030829637,-1.143366637
0,1,0.436711724,0.984661162
0,0,1.243909343,0.661767826
0,0,0.676547695,0.263873625
0,1,-0.771823069,0.156729532
1,0,1.048997641,1.553133629
1,0,0.915664055,1.142820454
1,0,0.938177591,1.379024478
0,0,0.122653048,0.646670249
0,1,-0.887474791,-0.899979088
0,1,1.264264046,0.539769665
0,0,0.328770117,0.354702595
0,1,-0.201788582,0.933158944
0,1,-0.446250622,-0.72806152
0,1,0.644987625,0.704625463
0,0,0.669762794,1.186773883
0,1,-0.872157363,-0.905823312
0,1,-0.784364856,-0.095302597
0,0,-0.492408509,-0.144247967
0,0,1.154883217,1.548872216
0,0,-0.036586522,0.149667762
0,0,-0.410989697,0.345692751
0,1,0.540746873,-0.819134
0,0,-0.210835117,-0.363406339
0,1,0.078756795,-0.046600736
0,0,0.912477208,1.292335166
0,0,-0.273338447,0.303322132
0,0,0.263285542,-1.443126588
0,1,1.050128457,0.97492079
0,1,-1.554656725,-1.429246558
0,0,1.022577647,0.296260362
0,1,-0.097033822,-0.676681058
0,1,1.892998207,1.467540109
0,1,0.079887612,0.029374166
0,0,1.844681487,-0.410160125
0,0,-0.524996594,-0.855295131
0,1,-1.345352808,-0.394819039
0,0,-0.219881651,-0.647094677
0,1,0.809778479,-0.978754348
0,1,0.359302172,0.779748083
0,1,1.317412437,0.819561854
0,0,0.812142914,1.122974446
0,0,1.231059151,1.204671817
0,1,-0.745300274,-1.009071256
0,1,0.351283653,0.172679391
0,1,-1.171721023,0.209084032
0,1,-0.64763882,-1.092351438
0,0,0.208389525,1.187139147
0,1,1.055988145,1.556177496
0,0,0.930261873,1.073663812
0,0,0.848843061,1.289900073
0,1,1.812915814,1.684263389
0,0,0.607567868,0.782304931
0,0,0.161512027,0.311357939
0,0,-0.349617183,-0.862113392
0,0,0.197184158,-0.679481414
0,1,0.544242125,-1.388702259
0,0,-0.354037649,-1.862693117
0,0,-0.245170828,-1.66435479
0,0,-0.130547121,0.390620217
0,1,0.095307841,0.961893042
0,1,-1.102946799,-1.106840241
0,0,-0.474521043,-0.699936196
0,0,-0.838746866,0.08233744
0,1,0.433627679,-0.337472599
0,1,-0.672825195,-0.366084942
0,1,0.0589161,-1.431438142
0,0,1.846017907,0.269717848
0,1,2.160076583,1.558612589
0,0,-0.001082725,-0.006924403
0,0,1.072230787,1.236084517
0,1,0.96634521,0.737133955
0,0,0.08780333,0.60636946
0,0,-0.878839463,0.386967578
0,0,0.489962917,-0.295345489
0,1,-0.730394052,-0.580007864
0,1,0.142185339,0.705477746
0,1,0.342134316,-0.389948853
0,0,-0.005334857,-0.377529879
0,0,0.762798179,1.101423872
0,0,1.047969625,0.822970984
0,1,0.10928885,-0.234589918
0,0,0.362900225,0.655680093
0,1,-1.721400807,-1.614800647
