Y,GENDER,ST011Q06,ST011Q07,ST013Q01,ST034Q01,MISCED,HISCED,BELONG,HOMEPOS,ESCS,treat
459.853,1,1,2,2,3,5.523035355,5.693866634,-0.3381,0.5749,0.126497756,0
369.182,1,1,2,3,4,4,4,2.5915,0.4654,-0.3537,0
322.108,1,1,2,2,3,4,4,-0.3381,-0.2596,0.1444,0
401.456,1,1,1,4,3,6,6,-0.5043,1.2547,1.1265,0
439.325,2,1,2,1,2,6,6,-0.7244,-1.4,-0.6343,0
332.788,2,1,2,4,3,5,5,-0.4725,-0.3292,0.4039,0
336.546,2,0.931387701,2.812095315,1.321803435,9,5,5,5.862257823,-2.3427402,-0.927456537,0
457.956,2,2,2,6,2,4,4,-0.5917,-4.5466,-1.8648,0
293.181,2,1,2,1,4,2,4,0.75,-0.7636,-1.1154,0
431.851,2,2,2,1,3,5,5,-0.8498,-1.7262,-1.14,0
326.315,2,1,2,1,4,4,4,-0.828,-0.0429,-0.0033,0
392.55,2,1,1,3,4,6,6,1.5611,0.862,1.2508,0
378.295,2,1,1,6,2,6,6,-1.1053,0.6564,0.2247,0
396.205,2,1,1.76687799,2.821525855,3,4,4,-0.4725,0.3286,-0.4757,0
434.819,2,1,2,4,4,4,4,0.5531,0.5121,-0.1195,0
412.695,2,1,1,1,2,4,6,-1.2461,0.3521,-0.1351,0
391.659,2,2,1,3,4,4,4,0.3171,-1.9211,-1.4168,0
499.428,2,1,2,1,4,4,4,2.5915,-1.0124,-0.4422,0
419.276,2,1,2.581982119,3,3,6,6,-0.3381,-2.0352,-0.2892,0
448.265,2,1,1,1,4,4,4,0.8589,-0.1192,-0.8372,0
427.995,2,1,1,4,3,6,6,-0.4725,1.327,1.6627,0
462.782,2,2,1,4,3,4,4,-0.5753,-0.4631,-0.9843,0
430.401,2,1,2,1,4,6,6,1.5043,-0.6003,-0.3404,0
395.94,2,1,2,1,3,3.125189924,3.949952957,-0.5753,-1.8063,-1.4082,0
550.85,2,1,2,1,4,4,4,-1.1006,-1.4454,-1.5726,0
578.869,2,1,2,3,2,6,6,-0.9585,0.4476,0.1067,0
351.474,2,1,2,1,3,2,2,-0.082,0.2632,-1.0207,0
438.07,2,1,1,1,4,4,6,-0.7943,1.3852,1.2984,0
522.813,2,1,2,1,3,4,5,0.0248,-1.0562,-0.8344,0
376.307,2,1,2,3,4,6,6,-0.378,-0.6327,0.1849,0
493.668,2,1,2,1,4,5,5,1.5043,-0.8337,-0.7113,0
455.62,2,1,2,4,3,5,5,0.0248,0.0202,0.367,0
449.793,2,1,2,2,1,2,5,-1.2082,-0.1757,-0.7381,0
439.255,2,1,2,2,2,4,4,-0.8616,-0.3043,-0.8019,0
426.347,2,1,2,1,4,4,4,0.7934,0.0396,0.1966,0
495.888,2,1,2,2,4,4,4,0.5901,-0.3238,-0.7884,0
386.758,2,1,2,2,3,6,6,-0.3627,-1.5056,0.1534,0
553.908,2,1,1,4,4,6,6,0.3171,1.4537,1.6129,0
381.296,1,1,2,1,2,4,4,-0.7768,-1.1212,-1.1848,0
534.154,1,1,2,1,4,2,4,0.412,-1.1676,-0.9461,0
575.606,1,1,2,3,3,2,5,-0.8021,-1.2107,-0.8204,0
435.906,1,1,2,3,4,4,4,0.9646,0.2687,0.1112,0
446.974,1,1,2,2,3,4,4,-0.7104,-0.059,-0.4431,0
390.025,1,1,2,2,3,4.038171321,3.711327336,-0.5064,-0.3712,-1.111424753,0
355.948,1,2,2,2,3,4,4,0.1561,-2.0764,-1.5771,0
349.193,1,1,2,1,4,4,4,0.6642,0.2197,-0.7127,0
385.183,1,1.140556974,1.520503969,1,3,4,4,-0.2687,0.1594,-0.4004,0
444.937,1,1,1,2,3,4,4,0.2067,0.693,0.1845,0
643.507,1,1,2,5,2,6,6,-0.6981,1.4157,1.4543,0
518.289,1,1,2,4,4,6,6,2.5915,0.7786,1.2202,0
365.381,1,2,2,1,1,4,6,-3.1297,-2.405,-0.6412,0
438.968,1,1,1,1,3,5,5,-1.0036,0.0267,0.0595,0
450.331,1,1,2,5,4,6,6,0.6642,-0.2071,0.6306,0
548.551,1,1,1,5,3,6,6,-0.0699,4.187,2.1215,0
591.228,1,1,1,5,3,6,6,-0.9678,2.7577,1.5962,0
489.664,1,1,1,2,3,5,5,-0.3381,1.2018,0.7599,0
413.561,1,1,2,1,3,4,4,-0.3381,-0.8373,-0.4192,0
638.361,2,1,2,1,3,4,5,-0.3381,-0.8519,0.1085,0
444.885,2,2,2,1,3,4,4,-0.3381,-1.0661,-1.0074,0
328.889,2,2,1,2,2,5,5,-0.2511,0.9332,0.8472,0
416.688,2,1,2,3,2,5,5,-1.1407,0.076,-0.7283,0
492.996,2,1,1,3,3,4,5,-0.4725,0.0624,-0.382,0
456.936,2,1,2,3,1,4,4,-3.1297,0.0124,-0.9376,0
596.098,2,1,2,2,3,5,6,-0.3381,0.0796,0.8186,0
407.743,2,1,1,3,1,6,6,-2.0732,-0.6951,0.4513,0
428.419,2,1,2,1,4,4,5,-0.0621,-0.3764,-0.378,0
449.007,2,1,1,5,3,4,4,-0.3381,1.1584,0.5622,0
485.41,2,1,1,5,3,2,2,-0.3381,-0.5015,-0.9095,0
525.643,2,1,1,4,4,4,4,0.1157,0.9947,0.254,0
477.551,2,1,2,1,3,4,4,0.2526,-1.2502,-1.5421,0
409.893,2,1,1,3,3,5,5,0.1052,0.2792,-0.137,0
423.38,2,1,2,1,4,4,4,0.6642,-0.6541,-1.1371,0
399.748,2,1.065214129,2.593698479,1.089711193,0.900222713,1.610220737,3.271667286,-2.35403449,-1.349919499,-1.458321174,0
339.491,2,1,2,3,3,2,2,-0.1613,-0.8401,-1.0752,0
426.859,2,2,2,3,2,2,4,-0.7911,-0.5772,-0.365,0
353.36,2,2,2,1,3,6,6,-0.3381,-0.8823,-0.568,0
318.47,2,1,2,3,3,4,4,0.0979,-0.8503,-0.5893,0
301.199,2,1,1,2,3,6,6,0.3791,0.3748,0.8031,0
396.039,1,1,2,1,3,4,4,-0.6837,0.2779,0.1973,0
415.97,1,1,2,2,4,5,5,-0.0621,-0.9296,0.08,0
434.418,1,1,1,3,4,2,2,0.2906,1.4064,-0.7249,0
373.029,1,1,2,4,3,6,6,-0.0099,0.7923,1.1012,0
316.878,1,2,2,1,4,2,5,0.4906,-1.3158,-1.0125,0
338.692,1,1,2,2,4,4,4,0.6642,-0.5093,-1.0012,0
561.551,1,2,2,1,2,0,4,-0.8828,-0.6527,-1.0539,0
509.165,1,1,1,6,4,5,6,1.5611,5.2563,2.5971,0
300.901,1,1,2,2,3,2,2,-0.5064,-0.0295,-1.2526,0
493.185,1,1,1,6,1,6,6,-1.3612,2.0032,1.6702,0
579.663,1,1,1,4,3,6,6,-0.3381,0.3769,0.7832,0
416.385,1,1,2,2,3,4,4,-0.3381,0.9682,-0.2775,0
491.783,1,1,1,3,3,6,6,0.0248,0.8843,0.4945,0
490.059,1,1,1,4,3,6,6,-0.6334,0.6919,0.961,0
309.795,1,1,2,3,2,2,6,-0.2953,-0.0363,0.4041,0
489.786,1,1,1,3,3,4,4,-0.3381,0.7037,0.705,0
632.483,1,1,1,4,3,6,6,-0.3381,0.807,1.1066,0
512.947,1,1,1,3,4,6,6,1.5611,1.2555,1.4781,0
453.52,1,1,2,3,2,2,4,-0.6981,0.5585,-0.4228,0
437.589,1,1,2,3,2,2,4,-1.3432,0.5148,-0.2323,0
589.377,2,1,2,5,3,5,5,-0.3381,0.1674,-0.1781,0
596.424,2,1,1,5,4,6,6,0.7934,0.0857,0.3456,0
508.893,2,1,2,2,4,5,6,-0.2387,-0.3623,0.6769,0
588.664,2,1,2,2,3,4,4,0.2947,0.7268,0.1143,0
412.479,1,1,1,3,3,5,5,-0.3381,-0.3582,0.166,0
350.187,1,2,2,3,4,2,4,-0.2387,-1.2395,-0.691,0
508.477,2,1,2,1,4,5,5,1.5611,-0.9747,-0.3086,0
432.11,2,1,2,2,3,1,2,0.514,-0.7221,-1.5691,0
571.865,1,1,2,3,3,4,4,0.514,-1.0816,-1.1089,0
416.027,1,2,2,3,3,5,5,-1.3147,-0.7682,-0.4806,0
549.616,2,1,2,1,1,1,1,-1.8419,-0.9031,-2.0633,0
626.371,2,1,1,1,2,1,2,-1.0761,0.0708,-0.8276,0
415.091,2,1,2,2,3,4,4,-0.3381,-0.2113,-0.7677,0
405.14,1,1,2,1,3,1,1,-0.3381,-1.7013,-2.4807,0
499.305,2,1,2,2,3,4,4,-0.3381,-0.7743,-0.8093,0
602.113,2,1,2,1,4,4,4,0.6642,-1.2558,-1.1957,0
389.183,2,1,2,1,3,0,0,-0.6239,-1.2693,-3.0459,0
504.147,2,1,1,3,3,2,2,-0.6837,1.2208,0.0334,0
487.753,2,1.102773744,2.189182134,0.865455608,3.610941095,0.906037156,1.526509519,0.610766547,-0.483915748,-1.403873117,0
415.368,2,1,2,3,4,5,5,1.5611,-1.5682,-1.1052,0
435.867,2,1,1,4,3,2,4,-0.4725,0.0925,-0.9247,0
543.708,2,1,1,3,4,0,0,0.6642,0.1716,-2.1787,0
557.24,2,1,2,4,3,4,4,-0.5064,0.2425,-0.043,0
521.17,2,1,1,1,4,4.805740651,4.669186432,0.6642,-0.2927,-0.722075636,0
