Y,GENDER,ST011Q06,ST011Q07,ST013Q01,ST034Q01,MISCED,HISCED,BELONG,HOMEPOS,ESCS,treat
606.258,2,1,1,6,3,6,6,-0.1144,0.9328,1.4814,0
551.481,2,1,1,5,1,6,6,-3.1297,3.2594,1.6132,0
528.702,2,1,2,2,4,6,6,1.398,-0.5595,0.7677,0
509.662,2,1,2,6,1,4,4,-1.1955,-1.6292,-0.7929,0
443.382,2,1,1,1,4,6,6,2.5915,0.5305,1.2302,0
281.719,1,2,2,4,2,6,6,-0.5917,-0.8015,-0.2195,0
491.174,1,1,2,2,3,4,5,-0.6239,-0.7383,0.3962,0
430.006,2,1,1,3,4,6,6,0.5073,0.0715,-0.0956,0
570.873,2,1,2,6,4,6,6,0.6642,0.0012,0.5604,0
594.415,2,1,1,4,4,4,4,0.0901,1.0272,-0.3746,0
382.998,2,1,1,3,4,5,5,1.5043,1.2644,1.2148,0
587.085,2,1,2,4,4,6,6,1.0269,1.0223,1.349,0
515.9,2,1,1,3,3,4,4,-1.0783,-0.1324,-0.9096,0
535.262,2,1,1,5,4,6,6,0.1282,2.2866,0.8287,0
461.047,2,1,2,3,2,6,6,-1.1407,-1.4447,0.215,0
559.265,1,1,1,5,3,4,6,-0.3381,1.2991,0.9134,0
557.383,1,1,1,5,2,6,6,-0.8482,0.4099,0.8759,0
422.699,1,1,2,2,3,4,4,-0.3381,0.4515,0.2817,0
437.453,1,1,2,4,1,6,6,-0.9373,0.5357,1.4181,0
582.639,1,1,2,3,2,4,4,-1.3458,-0.3531,-0.8198,0
705.373,1,1,2,6,3,6,6,0.2418,1.3698,1.518,0
502.833,1,1,2,5,2,5,6,-1.391,0.9704,0.8233,0
578.733,1,1,1,3,2,4,4,-0.8003,-0.4799,-0.7425,0
514.758,1,1,1,3,4,5,6,0.3171,0.8772,0.2418,0
444.079,1,1,1,6,3,6,6,-0.9482,2.2454,1.6745,0
469.312,1,1,2,4,2,5,5,-1.1224,0.7885,0.9779,0
575.141,1,1,1,3,3,5,6,-0.1613,1.277,0.6367,0
382.73,1,1,2,1,2,4,5,-0.5917,-0.4964,-0.3002,0
518.362,2,1,2,1,3,5,5,-0.3381,-0.4651,0.3519,0
457.902,2,1,2,1,3,6,6,-0.5064,-0.99,0.6854,0
475.828,1,1,2,1,3,4,4,-0.3381,-0.2553,-0.6599,0
378.941,1,1,2,1,3,6,6,-0.3381,-0.1871,0.7805,0
622.891,1,1,1,3,3,6,6,-0.6671,0.6605,1.464,0
578.009,1,1,1,4,4,6,6,0.6642,0.3284,0.9493,0
577.193,1,1,1,5,3,6,6,-0.4725,0.8029,1.4336,0
540.58,1,1,2,5,3,6,6,-0.9105,0.6603,0.8027,0
696.603,1,1,1,6,2,5,6,-0.9414,1.031,0.4636,0
422.695,1,1,2,3,3,6,6,-0.3381,1.1198,0.8418,0
517.331,1,1,2,1,3,6,6,0.2067,-0.2597,0.7332,0
545.366,1,1,1,5,2,6,6,-1.0536,1.3293,1.5651,0
456.018,1,1,2,3,2,5,5,-1.1111,-0.744,-0.0812,0
556.043,1,1,1,4,2,6,6,-1.2158,1.1769,0.9512,0
660.699,1,1,1,5,2,4,5,-1.0362,1.0218,0.5471,0
546.869,2,1,1,5,4,4,4,2.5915,2.6793,0.9351,0
494.089,2,2,2,2,4,4,4,0.6642,-0.5208,-0.9435,0
482.654,2,1,1,4,4,6,6,0.6642,0.6734,1.0554,0
590.172,2,1,1,4,1,6,6,-2.4078,1.7827,1.5044,0
586.34,2,1,2,3,2,4,4,-1.4311,0.4753,0.1458,0
457.193,2,1,1,4,3,6,6,-0.3381,2.1087,1.7482,0
411.948,2,1,2,1,4,6,6,-0.9347,0.0457,1.1554,0
399.434,2,1,2,3,4,6,6,2.5915,-0.5099,7.00E-04,0
541.16,2,1.294904445,2.107466368,3.67225359,9,7.095360968,6.601593617,3.679939824,0.412265332,1.324126657,0
431.36,2,1,2,3,4,5,5,1.5043,-0.5103,0.5006,0
717.458,2,1,1,5,3,6,6,-0.6525,0.6715,0.9721,0
586.253,2,1,1,4,3,6,6,-0.3381,1.828,1.8517,0
614.934,2,1,1,2,3,4,4,0.0248,-0.1877,-0.5982,0
584.413,2,2,1,6,3,6,6,-0.3381,1.089,1.2908,0
478.787,2,1,1,4,3,5,5,-0.5064,1.5548,0.7429,0
453.306,2,1,1,1,4,2,2,-0.4544,1.5623,-0.0637,0
422.187,2,1,2,1,3,4,6,-0.0848,-1.1665,-0.5299,0
465.889,2,1,2,2,3,6,6,-0.3381,0.3075,0.921,0
471.562,2,1,2,4,4,6,6,1.5043,0.7281,1.2202,0
461.809,2,1,2,5,4,6,6,1.0269,1.5215,1.0778,0
540.498,1,1,2,3,4,6,6,-0.0621,0.119,0.8517,0
480.549,1,1,2,4,3,5,5,-0.3381,0.9053,0.6489,0
468.89,1,1,2,4,4,5,5,1.398,0.6748,0.9361,0
462.546,1,1,1,4,3,6,6,-0.6925,2.0247,1.676,0
615.926,1,1,1,6,2,4,4,-1.0176,1.355,0.1592,0
453.595,1,1,1,3,3,5,5,0.1434,0.5488,-0.164,0
537.228,1,1,2,5,3,6,6,0.0248,1.3526,1.5737,0
571.988,1,1,1,5,3,5,6,-0.3381,1.379,1.5214,0
553.504,1,1,2,3,3,6,6,-0.3381,0.8998,1.3039,0
539.342,1,1,1,3,3,5,5,-0.3381,0.7278,0.7076,0
455.42,1,1,2,2,2,4,4,-1.8909,-0.0547,-0.6482,0
466.351,1,1,2,5,1,4,4,-1.3612,-0.1632,-0.5848,0
478.683,1,1,1,5,3,5,5,-0.3381,0.5596,0.4805,0
405.756,1,1,2,5,3,5,5,-0.7577,1.5917,1.1078,0
578.482,1,1,2,5,3,6,6,-0.082,1.1272,1.3255,0
561.914,1,1,2,3,4,6,6,2.5915,1.2219,1.009,0
405.389,1,1,2,2,3,4,6,-0.3381,0.6649,0.701,0
499.945,1,1,1,3,4,6,6,2.5915,2.1294,1.6525,0
541.927,1,1,1,3,3,5,5,-0.5753,1.2954,0.7303,0
523.565,1,1,1,1,2,4,4,-0.5917,0.5907,-0.0391,0
490.811,1,1,1,4,3,6,6,-0.3381,1.4637,0.726,0
530.287,2,1,2,3,2,5,5,-0.983,1.2661,0.7402,0
554.927,2,1,1,5,1,5,5,-0.5856,0.1624,-0.1407,0
406.074,2,1,2,1,4,5,5,0.75,-1.2287,0.2159,0
545.235,2,1,1,5,4,6,6,-0.0752,1.8815,1.9127,0
470.95,2,1,1,6,4,5,5,0.2774,2.4831,1.704,0
511.146,2,1,0.906657839,3,4,4,4,1.0269,0.9445,0.3389,0
627.873,2,1,2,2,3,5,5,-0.5064,-1.3541,-0.1194,0
523.387,2,1,1,3,4,4,4,0.3171,0.9131,-0.2925,0
644.504,2,1,2,5,1,4,4,-3.1297,1.0296,0.2462,0
674.625,2,1,2,4,3,5,5,-0.1985,0.7889,0.6268,0
477.579,2,1,2,1,4,4,6,-0.0621,0.7362,1.0591,0
539.997,2,1,2,3,3,5,5,-0.5064,0.9043,0.0699,0
389.206,2,1,2,1,2,6,6,-1.072,-1.078,0.4738,0
546.11,2,1,1,2,1,5,5,-2.4078,0.9057,0.5664,0
437.576,2,1,1,4,3,6,6,-0.3381,1.704,0.649,0
561.26,2,1,2,2,4,6,6,2.5915,1.6885,1.2838,0
518.723,1,1,2,3,3,6,6,-0.6239,1.069,1.0562,1
461.359,1,1,1,4,4,6,6,2.5915,-0.5023,0.5407,1
465.207,1,1,2,1,3,6,6,-0.0099,-0.3718,0.7333,1
607.03,1,1,1,3,4,6,6,1.0269,-0.1413,0.756,1
504.359,1,1,2,4,3,6,6,0.3791,0.4801,1.0257,1
515.148,1,1,2,5,3,4,4,-0.3381,1.1682,-0.2608,1
549.579,1,1,2,2,3,4,5,-0.1613,0.1517,0.7439,1
548.094,1,1,2,3,4,6,6,0.9357,-0.8423,0.7464,1
580.299,1,1,1,4,3,6,6,0.5311,0.8394,1.2198,1
636.027,1,1,1,4,4,6,6,0.4597,1.0463,1.3578,1
517.035,1,1,2,2,3,5,5,-0.3381,0.4778,0.1612,1
578.417,2,1,1,5,4,6,6,0.6642,0.4899,1.112,1
572.344,2,1,2,4,4,6,6,0.2774,1.1488,1.2715,1
497.527,2,1,1,6,4,6,6,1.0269,3.4162,2.2907,1
520.292,2,1,1,2,4,4,4,0.3602,0.2393,-0.6021,1
568.613,2,1,1,3,3,4,4,-0.4725,1.8054,0.0561,1
531.883,2,1,1,4,3,6,6,-0.4725,0.9469,1.1973,1
591.504,2,1,2,5,3,6,6,-0.3381,0.0846,1.025,1
403.077,2,1.214797552,2.020690076,1,2,4,4,-0.983,-1.3047,-1.0869,1
502.079,2,1,1,3,3,5,6,-0.4725,1.6784,1.4661,1
650.743,2,1,1,5,4,6,6,0.6642,0.7507,1.2078,1
515.814,2,1,2,3,9,5,5,-0.5045,-0.0402,0.0121,1
474.982,2,1,2,2,4,6,6,1.398,0.5061,0.746,1
559.901,2,1,2,2,3,6,6,-0.7263,-0.8794,0.4228,1
615.086,2,1,1,3,4,6,6,0.7279,0.3522,1.082,1
695.626,2,1,1,5,4,6,6,0.3171,0.4917,1.1746,1
415.764,2,1,2,5,1,4,4,-0.5754,1.8853,1.0979,1
532.244,2,1,2,4,4,6,6,0.412,-0.347,0.8457,1
547.844,2,1,2,3,3,5,6,0.2947,-0.2464,0.986,1
558.086,2,1,2,3,3,6,6,-0.779,-0.0455,0.9359,1
600.652,2,0.893387083,0.757249554,4.616021629,2.639740275,5.79543123,5.854792645,-0.211614047,1.746544196,1.483727573,1
458.663,2,1,1,5,2,6,6,-1.2283,0.9151,1.0616,1
639.065,2,1,2,3,4,6,6,-0.4538,1.0298,0.8971,1
377.287,2,1,2,2,3,5,5,-0.082,0.6327,0.5701,1
556.063,2,1,2,3,4,6,6,0.3171,-0.0917,0.4023,0
445.179,2,1,1,4,4,6,6,2.5915,2.5474,1.5168,0
464.66,2,1,1,3,1,6,6,-2.853,1.246,1.0358,0
530.55,2,1,2,5,2,5,5,-0.9638,-0.3661,0.037,0
476.194,2,1,2,1,3,4,4,-0.3381,-1.4397,-0.9092,0
530.629,2,1,2,3,4,6,6,2.5915,0.9508,1.0954,0
428.384,2,1,2,4,2,6,6,-0.6981,-0.9302,-0.5051,0
487.533,2,1,2.891312716,2,4,4,4,0.3171,-0.1013,0.0786,0
428.717,2,1,2,1,2,4,6,-0.9388,-0.8666,-0.4817,0
545.977,2,1,2,1,3,4,4,0.2947,-1.1143,-1.2029,0
593.214,2,1,1,6,4,6,6,2.5915,1.021,0.5013,0
428.101,2,2,2,1,2,6,6,-0.983,-0.2877,-0.2276,0
591.383,2,1,1,4,3,3.937229386,4.984297344,-0.1985,1.7297,1.0987,0
431.743,2,1,2,3,3,6,6,-0.5753,-1.3573,-0.6,0
348.486,2,1,2,2,4,4,6,2.5915,-1.3746,-0.2758,0
494.208,2,1,2,3,2,5,5,0.1854,1.0828,1.0861,0
489.506,2,1,1,3,3,6,6,-0.3381,0.9734,0.8971,0
491.402,2,2,2,4,3,5,6,-0.3381,-0.0072,0.9706,0
445.397,2,1,1,4,3,4,4,-0.1985,0.7563,-0.7221,0
349.307,2,1,1,1,3,6,6,0.5643,0.7914,0.8095,0
541.946,1,1,1,4,4,6,6,1.0269,1.1912,1.411,0
470.03,1,1,2,2,3,5,5,-0.8913,-0.3806,-0.0716,0
419.546,1,1,1,5,3,6,6,-0.4725,1.6897,1.0022,0
565.697,1,1,1,5,2,4,4,-1.1284,-0.4124,-0.4077,0
438.914,1,1,2,3,4,4,4,-1.0987,0.146,0.1488,0
365.576,1,1,2,2,3,4,5,-0.3381,0.5028,0.5216,0
461.624,1,1,2.138180538,1.371959094,2,6,6,-1.0362,-0.5551,0.356,0
446.456,1,1,1,4,3,6,6,-0.3381,0.694,0.8564,0
496.133,1,1,2,2,3,4,4,-0.3381,0.662,-0.4468,0
517.15,1,1,2,3,2,4,6,-1.0536,0.62,0.1266,0
296.273,1,1,1,1,2,6,6,-0.6985,1.9641,0.6619,0
518.285,1,2,2,6,3,5,5,-0.3381,-0.3959,0.0261,0
456.166,1,1,1,3,3,4,4,-0.3381,0.7264,-0.5058,0
437.186,1,1,2,3,3,4,6,-0.4725,0.1147,-0.0178,0
380.695,2,1,2,4,3,6,6,0.5643,0.1467,1.0685,0
472.433,2,1,1,4,3,3.390403848,4,-0.6837,0.7525,-0.0586,0
421.952,2,1,1,3,4,4,4,1.0269,1.3688,0.6395,0
577.805,2,1,2,4,3,6,6,-0.3381,0.3425,0.6859,0
543.397,2,1,2,3,3,5,5,-0.5753,1.0781,0.7331,0
461.999,2,1.108222654,2.462438073,2,3,6,6,-0.4725,-0.2011,0.5274,0
364.561,2,1,2,1,3,5,5,-0.3381,0.1177,-0.0745,0
481.89,2,1,2,3,3,6,6,-0.3381,1.3437,1.4671,0
518.752,2,1,2,4,2,6,6,-1.0536,0.4077,1.1438,0
590.235,2,1,2,2,3,6,6,-0.3381,0.8882,1.2377,0
429.928,1,1,2,5,3,6,6,-0.3381,1.6021,1.562,0
439.135,1,1,2,3,3,5,5,-0.3381,-0.234,-0.3897,0
450.968,1,1,2,6,3,6,6,-0.082,1.8007,1.511,0
527.776,1,1,1,6,2,6,6,-1.4311,2.5891,1.9454,0
496.396,1,1,1,4,1,4,4,-1.4451,0.4995,-0.5065,0
444.672,1,1,2,3,3,4,5,-0.4725,0.2097,0.5999,0
410.408,1,1,1,3,3,6,6,-0.5753,1.515,0.6208,0
475.109,1,1,2,2,3,6,6,-0.6837,0.0066,-0.0781,0
431.2,1,1,1,1,2,6,6,-0.5917,-0.0419,0.9579,0
428.223,1,2,1.248836822,4,3,4,4,-0.9105,1.3526,0.6129,0
509.775,1,1,1,5,3,5,6,-0.3381,0.9704,0.8753,0
472.319,1,1,2,1,4,4,4,1.5043,0.5295,-0.2475,0
470.541,1,1,1,5,4,5,5,0.1985,2.1594,0.8205,0
528.778,1,1,1,5,3,5,6,-0.4725,0.6303,1.2256,0
518.485,1,1,2,4,3,6,6,-0.1144,-0.3789,0.2554,0
444.094,1,1,2,4,2,4,4,-1.072,0.2239,-0.3497,0
537.691,2,1,2,2,3,6,6,0.4638,1.2059,1.5198,0
543.112,2,1,2,4,4,6,6,-0.0621,0.9291,1.3147,0
447.868,2,1,2,1,3,4,4,-0.3381,-0.5199,-0.2406,0
584.29,2,1,1,4,3,6,6,-0.3381,-0.279,-0.0798,0
588.131,2,1,2,3,3,6,6,-0.3381,0.7738,1.0097,0
